airport,iana_timezone,source
FKB,Europe/Berlin,OpenFlights airports.dat
FKI,Africa/Lubumbashi,OpenFlights airports.dat
FKJ,Asia/Tokyo,OpenFlights airports.dat
FKL,America/New_York,OpenFlights airports.dat
FKQ,Asia/Jayapura,OpenFlights airports.dat
FKS,Asia/Tokyo,OpenFlights airports.dat
FLA,America/Bogota,OpenFlights airports.dat
FLD,America/Chicago,OpenFlights airports.dat
FLF,Europe/Berlin,OpenFlights airports.dat
FLG,America/Phoenix,OpenFlights airports.dat
FLL,America/New_York,OpenFlights airports.dat
FLN,America/Sao_Paulo,OpenFlights airports.dat
FLO,America/New_York,OpenFlights airports.dat
FLR,Europe/Rome,OpenFlights airports.dat
FLS,Australia/Melbourne,OpenFlights airports.dat
FLV,America/Chicago,OpenFlights airports.dat
FLW,Atlantic/Azores,OpenFlights airports.dat
FLZ,Asia/Jakarta,OpenFlights airports.dat
FMA,America/Cordoba,OpenFlights airports.dat
FME,America/New_York,OpenFlights airports.dat
FMH,America/New_York,OpenFlights airports.dat
FMI,Africa/Lubumbashi,OpenFlights airports.dat
FMM,Europe/Berlin,OpenFlights airports.dat
FMN,America/Denver,OpenFlights airports.dat
FMO,Europe/Berlin,OpenFlights airports.dat
FMY,America/New_York,OpenFlights airports.dat
FNA,Africa/Freetown,OpenFlights airports.dat
FNC,Europe/Lisbon,OpenFlights airports.dat
FNI,Europe/Paris,OpenFlights airports.dat
FNJ,Asia/Pyongyang,OpenFlights airports.dat
FNL,America/Denver,OpenFlights airports.dat
FNR,America/Anchorage,OpenFlights airports.dat
FNT,America/New_York,OpenFlights airports.dat
FNU,Europe/Rome,OpenFlights airports.dat
FOC,Asia/Shanghai,OpenFlights airports.dat
FOD,America/Chicago,OpenFlights airports.dat
FOE,America/Chicago,OpenFlights airports.dat
FOG,Europe/Rome,OpenFlights airports.dat
FOK,America/New_York,OpenFlights airports.dat
FOM,Africa/Douala,OpenFlights airports.dat
FON,America/Costa_Rica,OpenFlights airports.dat
FOR,America/Fortaleza,OpenFlights airports.dat
FOS,Australia/Perth,OpenFlights airports.dat
FPO,America/Nassau,OpenFlights airports.dat
FPR,America/New_York,OpenFlights airports.dat
FRA,Europe/Berlin,OpenFlights airports.dat
FRC,America/Sao_Paulo,OpenFlights airports.dat
FRD,America/Los_Angeles,OpenFlights airports.dat
FRE,Pacific/Guadalcanal,OpenFlights airports.dat
FRG,America/New_York,OpenFlights airports.dat
FRI,America/Chicago,OpenFlights airports.dat
FRJ,Europe/Paris,OpenFlights airports.dat
FRL,Europe/Rome,OpenFlights airports.dat
FRN,America/Anchorage,OpenFlights airports.dat
FRO,Europe/Oslo,OpenFlights airports.dat
FRS,America/Guatemala,OpenFlights airports.dat
FRU,Asia/Bishkek,OpenFlights airports.dat
FRW,Africa/Gaborone,OpenFlights airports.dat
FRY,America/New_York,OpenFlights airports.dat
FRZ,Europe/Berlin,OpenFlights airports.dat
FSC,Europe/Paris,OpenFlights airports.dat
FSD,America/Chicago,OpenFlights airports.dat
FSI,America/Chicago,OpenFlights airports.dat
FSM,America/Chicago,OpenFlights airports.dat
FSP,America/Miquelon,OpenFlights airports.dat
FST,America/Chicago,OpenFlights airports.dat
FTA,Pacific/Efate,OpenFlights airports.dat
FTE,America/Argentina/Rio_Gallegos,OpenFlights airports.dat
FTI,Pacific/Pago_Pago,OpenFlights airports.dat
FTK,America/New_York,OpenFlights airports.dat
FTU,Indian/Antananarivo,OpenFlights airports.dat
FTW,America/Chicago,OpenFlights airports.dat
FTX,Africa/Brazzaville,OpenFlights airports.dat
FTY,America/New_York,OpenFlights airports.dat
FUE,Atlantic/Canary,OpenFlights airports.dat
FUG,Asia/Shanghai,OpenFlights airports.dat
FUJ,Asia/Tokyo,OpenFlights airports.dat
FUK,Asia/Tokyo,OpenFlights airports.dat
FUL,America/Los_Angeles,OpenFlights airports.dat
FUN,Pacific/Funafuti,OpenFlights airports.dat
FUO,Asia/Shanghai,OpenFlights airports.dat
FUT,Pacific/Wallis,OpenFlights airports.dat
FWA,America/New_York,OpenFlights airports.dat
FWH,America/Chicago,OpenFlights airports.dat
FXE,America/New_York,OpenFlights airports.dat
FXO,Africa/Maputo,OpenFlights airports.dat
FYT,Africa/Ndjamena,OpenFlights airports.dat
FYU,America/Anchorage,OpenFlights airports.dat
FYV,America/Chicago,OpenFlights airports.dat
FZO,Europe/London,OpenFlights airports.dat
GAD,America/Chicago,OpenFlights airports.dat
GAE,Africa/Tunis,OpenFlights airports.dat
GAF,Africa/Tunis,OpenFlights airports.dat
GAH,Australia/Brisbane,OpenFlights airports.dat
GAI,America/New_York,OpenFlights airports.dat
GAJ,Asia/Tokyo,OpenFlights airports.dat
GAL,America/Anchorage,OpenFlights airports.dat
GAM,America/Anchorage,OpenFlights airports.dat
GAN,Indian/Maldives,OpenFlights airports.dat
GAO,America/Havana,OpenFlights airports.dat
GAQ,Africa/Bamako,OpenFlights airports.dat
GAS,Africa/Nairobi,OpenFlights airports.dat
GAU,Asia/Calcutta,OpenFlights airports.dat
GAY,Asia/Calcutta,OpenFlights airports.dat
GBA,Europe/London,OpenFlights airports.dat
GBB,Asia/Baku,OpenFlights airports.dat
GBD,America/Chicago,OpenFlights airports.dat
GBE,Africa/Gaborone,OpenFlights airports.dat
GBJ,America/Guadeloupe,OpenFlights airports.dat
GBK,Africa/Freetown,OpenFlights airports.dat
GBT,Asia/Tehran,OpenFlights airports.dat
GBZ,Pacific/Auckland,OpenFlights airports.dat
GCC,America/Denver,OpenFlights airports.dat
GCH,Asia/Tehran,OpenFlights airports.dat
GCI,Europe/Guernsey,OpenFlights airports.dat
GCJ,Africa/Johannesburg,OpenFlights airports.dat
GCK,America/Chicago,OpenFlights airports.dat
GCM,America/Cayman,OpenFlights airports.dat
GCN,America/Phoenix,OpenFlights airports.dat
GDE,Africa/Addis_Ababa,OpenFlights airports.dat
GDL,America/Mexico_City,OpenFlights airports.dat
GDN,Europe/Warsaw,OpenFlights airports.dat
GDO,America/Caracas,OpenFlights airports.dat
GDQ,Africa/Addis_Ababa,OpenFlights airports.dat
GDT,America/Grand_Turk,OpenFlights airports.dat
GDV,America/Denver,OpenFlights airports.dat
GDW,America/New_York,OpenFlights airports.dat
GDX,Asia/Srednekolymsk,OpenFlights airports.dat
GDZ,Europe/Moscow,OpenFlights airports.dat
GEA,Pacific/Noumea,OpenFlights airports.dat
GED,America/New_York,OpenFlights airports.dat
GEG,America/Los_Angeles,OpenFlights airports.dat
GEL,America/Sao_Paulo,OpenFlights airports.dat
GEO,America/Guyana,OpenFlights airports.dat
GER,America/Havana,OpenFlights airports.dat
GES,Asia/Manila,OpenFlights airports.dat
GET,Australia/Perth,OpenFlights airports.dat
GEV,Europe/Stockholm,OpenFlights airports.dat
GEX,Australia/Hobart,OpenFlights airports.dat
GFF,Australia/Sydney,OpenFlights airports.dat
GFK,America/Chicago,OpenFlights airports.dat
GFL,America/New_York,OpenFlights airports.dat
GFN,Australia/Sydney,OpenFlights airports.dat
GFO,America/Guyana,OpenFlights airports.dat
GFR,Europe/Paris,OpenFlights airports.dat
GFY,Africa/Windhoek,OpenFlights airports.dat
GGE,America/New_York,OpenFlights airports.dat
GGG,America/Chicago,OpenFlights airports.dat
GGM,Africa/Nairobi,OpenFlights airports.dat
GGS,America/Argentina/Rio_Gallegos,OpenFlights airports.dat
GGT,America/Nassau,OpenFlights airports.dat
GGW,America/Denver,OpenFlights airports.dat
GHA,Africa/Algiers,OpenFlights airports.dat
GHB,America/Nassau,OpenFlights airports.dat
GHC,America/Nassau,OpenFlights airports.dat
GHF,Europe/Berlin,OpenFlights airports.dat
GHT,Africa/Tripoli,OpenFlights airports.dat
GHU,America/Cordoba,OpenFlights airports.dat
GIB,Europe/Gibraltar,OpenFlights airports.dat
GIC,Australia/Brisbane,OpenFlights airports.dat
GIF,America/New_York,OpenFlights airports.dat
GIG,America/Sao_Paulo,OpenFlights airports.dat
GIL,Asia/Karachi,OpenFlights airports.dat
GIR,America/Bogota,OpenFlights airports.dat
GIS,Pacific/Auckland,OpenFlights airports.dat
GIU,Asia/Colombo,OpenFlights airports.dat
GIZ,Asia/Riyadh,OpenFlights airports.dat
GJA,America/Tegucigalpa,OpenFlights airports.dat
GJL,Africa/Algiers,OpenFlights airports.dat
GJM,America/Boa_Vista,OpenFlights airports.dat
GJR,Atlantic/Reykjavik,OpenFlights airports.dat
GJT,America/Denver,OpenFlights airports.dat
GKA,Pacific/Port_Moresby,OpenFlights airports.dat
GKE,Europe/Berlin,OpenFlights airports.dat
GKK,Indian/Maldives,OpenFlights airports.dat
GKL,Australia/Brisbane,OpenFlights airports.dat
GKN,America/Anchorage,OpenFlights airports.dat
GLA,Europe/London,OpenFlights airports.dat
GLD,America/Denver,OpenFlights airports.dat
GLF,America/Costa_Rica,OpenFlights airports.dat
GLH,America/Chicago,OpenFlights airports.dat
GLI,Australia/Sydney,OpenFlights airports.dat
GLK,Africa/Mogadishu,OpenFlights airports.dat
GLO,Europe/London,OpenFlights airports.dat
GLS,America/Chicago,OpenFlights airports.dat
GLT,Australia/Brisbane,OpenFlights airports.dat
GLV,America/Anchorage,OpenFlights airports.dat
GLZ,Europe/Amsterdam,OpenFlights airports.dat
GMA,Africa/Kinshasa,OpenFlights airports.dat
GMB,Africa/Addis_Ababa,OpenFlights airports.dat
GMD,Africa/Casablanca,OpenFlights airports.dat
GME,Europe/Minsk,OpenFlights airports.dat
GML,Europe/Kiev,OpenFlights airports.dat
GMP,Asia/Seoul,OpenFlights airports.dat
GMR,Pacific/Gambier,OpenFlights airports.dat
GMV,America/Denver,OpenFlights airports.dat
GMZ,Atlantic/Canary,OpenFlights airports.dat
GNA,Europe/Minsk,OpenFlights airports.dat
GNB,Europe/Paris,OpenFlights airports.dat
GND,America/Grenada,OpenFlights airports.dat
GNI,Asia/Taipei,OpenFlights airports.dat
GNM,America/Fortaleza,OpenFlights airports.dat
GNR,America/Argentina/Salta,OpenFlights airports.dat
GNS,Asia/Jakarta,OpenFlights airports.dat
GNT,America/Denver,OpenFlights airports.dat
GNV,America/New_York,OpenFlights airports.dat
GNY,Europe/Istanbul,OpenFlights airports.dat
GNZ,Africa/Gaborone,OpenFlights airports.dat
GOA,Europe/Rome,OpenFlights airports.dat
GOB,Africa/Addis_Ababa,OpenFlights airports.dat
GOH,America/Godthab,OpenFlights airports.dat
GOI,Asia/Calcutta,OpenFlights airports.dat
GOJ,Europe/Moscow,OpenFlights airports.dat
GOM,Africa/Kigali,OpenFlights airports.dat
GON,America/New_York,OpenFlights airports.dat
GOP,Asia/Calcutta,OpenFlights airports.dat
GOQ,Asia/Shanghai,OpenFlights airports.dat
GOR,Africa/Addis_Ababa,OpenFlights airports.dat
GOT,Europe/Stockholm,OpenFlights airports.dat
GOU,Africa/Douala,OpenFlights airports.dat
GOV,Australia/Darwin,OpenFlights airports.dat
GOZ,Europe/Sofia,OpenFlights airports.dat
GPA,Europe/Athens,OpenFlights airports.dat
GPB,America/Sao_Paulo,OpenFlights airports.dat
GPI,America/Bogota,OpenFlights airports.dat
GPL,America/Costa_Rica,OpenFlights airports.dat
GPO,America/Argentina/Salta,OpenFlights airports.dat
GPS,Pacific/Galapagos,OpenFlights airports.dat
GPT,America/Chicago,OpenFlights airports.dat
GPZ,America/Chicago,OpenFlights airports.dat
GQQ,America/New_York,OpenFlights airports.dat
GRB,America/Chicago,OpenFlights airports.dat
GRF,America/Los_Angeles,OpenFlights airports.dat
GRI,America/Chicago,OpenFlights airports.dat
GRJ,Africa/Johannesburg,OpenFlights airports.dat
GRK,America/Chicago,OpenFlights airports.dat
GRM,America/Chicago,OpenFlights airports.dat
GRO,Europe/Madrid,OpenFlights airports.dat
GRP,America/Fortaleza,OpenFlights airports.dat
GRQ,Europe/Amsterdam,OpenFlights airports.dat
GRR,America/New_York,OpenFlights airports.dat
GRS,Europe/Rome,OpenFlights airports.dat
GRU,America/Sao_Paulo,OpenFlights airports.dat
GRW,Atlantic/Azores,OpenFlights airports.dat
GRX,Europe/Madrid,OpenFlights airports.dat
GRY,Atlantic/Reykjavik,OpenFlights airports.dat
GRZ,Europe/Vienna,OpenFlights airports.dat
GSB,America/New_York,OpenFlights airports.dat
GSE,Europe/Stockholm,OpenFlights airports.dat
GSI,America/Cayenne,OpenFlights airports.dat
GSJ,America/Guatemala,OpenFlights airports.dat
GSO,America/New_York,OpenFlights airports.dat
GSP,America/New_York,OpenFlights airports.dat
GSQ,Africa/Cairo,OpenFlights airports.dat
GST,America/Anchorage,OpenFlights airports.dat
GTE,Australia/Darwin,OpenFlights airports.dat
GTF,America/Denver,OpenFlights airports.dat
GTI,Europe/Berlin,OpenFlights airports.dat
GTN,Pacific/Auckland,OpenFlights airports.dat
GTO,Asia/Makassar,OpenFlights airports.dat
GTR,America/Chicago,OpenFlights airports.dat
GUA,America/Guatemala,OpenFlights airports.dat
GUB,America/Tijuana,OpenFlights airports.dat
GUC,America/Denver,OpenFlights airports.dat
GUF,America/Chicago,OpenFlights airports.dat
GUI,America/Caracas,OpenFlights airports.dat
GUJ,America/Sao_Paulo,OpenFlights airports.dat
GUL,Australia/Sydney,OpenFlights airports.dat
GUM,Pacific/Guam,OpenFlights airports.dat
GUP,America/Denver,OpenFlights airports.dat
GUQ,America/Caracas,OpenFlights airports.dat
GUR,Pacific/Port_Moresby,OpenFlights airports.dat
GUS,America/New_York,OpenFlights airports.dat
GUT,Europe/Berlin,OpenFlights airports.dat
GUW,Asia/Oral,OpenFlights airports.dat
GUX,Asia/Calcutta,OpenFlights airports.dat
GVA,Europe/Paris,OpenFlights airports.dat
GVL,America/New_York,OpenFlights airports.dat
GVR,America/Sao_Paulo,OpenFlights airports.dat
GVT,America/Chicago,OpenFlights airports.dat
GVX,Europe/Stockholm,OpenFlights airports.dat
GWD,Asia/Karachi,OpenFlights airports.dat
GWE,Africa/Harare,OpenFlights airports.dat
GWL,Asia/Calcutta,OpenFlights airports.dat
GWO,America/Chicago,OpenFlights airports.dat
GWT,Europe/Berlin,OpenFlights airports.dat
GWY,Europe/Dublin,OpenFlights airports.dat
GXF,Asia/Aden,OpenFlights airports.dat
GXG,Africa/Luanda,OpenFlights airports.dat
GXH,Asia/Shanghai,OpenFlights airports.dat
GXQ,America/Santiago,OpenFlights airports.dat
GYA,America/La_Paz,OpenFlights airports.dat
GYD,Asia/Baku,OpenFlights airports.dat
GYE,America/Guayaquil,OpenFlights airports.dat
GYG,Asia/Yakutsk,OpenFlights airports.dat
GYI,Africa/Kigali,OpenFlights airports.dat
GYL,Australia/Perth,OpenFlights airports.dat
GYM,America/Hermosillo,OpenFlights airports.dat
GYN,America/Sao_Paulo,OpenFlights airports.dat
GYR,America/Phoenix,OpenFlights airports.dat
GYS,Asia/Shanghai,OpenFlights airports.dat
GYU,Asia/Shanghai,OpenFlights airports.dat
GYY,America/Chicago,OpenFlights airports.dat
GZA,Asia/Gaza,OpenFlights airports.dat
GZM,Europe/Malta,OpenFlights airports.dat
GZO,Pacific/Guadalcanal,OpenFlights airports.dat
GZP,Europe/Istanbul,OpenFlights airports.dat
GZT,Europe/Istanbul,OpenFlights airports.dat
GZW,Asia/Tehran,OpenFlights airports.dat
HAA,Europe/Oslo,OpenFlights airports.dat
HAC,Asia/Tokyo,OpenFlights airports.dat
HAD,Europe/Stockholm,OpenFlights airports.dat
HAH,Indian/Comoro,OpenFlights airports.dat
HAJ,Europe/Berlin,OpenFlights airports.dat
HAK,Asia/Shanghai,OpenFlights airports.dat
HAM,Europe/Berlin,OpenFlights airports.dat
HAN,Asia/Saigon,OpenFlights airports.dat
HAO,America/New_York,OpenFlights airports.dat
HAQ,Indian/Maldives,OpenFlights airports.dat
HAR,America/New_York,OpenFlights airports.dat
HAS,Asia/Riyadh,OpenFlights airports.dat
HAU,Europe/Oslo,OpenFlights airports.dat
HAV,America/Havana,OpenFlights airports.dat
HAW,Europe/London,OpenFlights airports.dat
HBA,Australia/Melbourne,OpenFlights airports.dat
HBE,Africa/Cairo,OpenFlights airports.dat
HBG,America/Chicago,OpenFlights airports.dat
HBR,America/Chicago,OpenFlights airports.dat
HBX,Asia/Calcutta,OpenFlights airports.dat
HCN,Asia/Taipei,OpenFlights airports.dat
HCQ,Australia/Perth,OpenFlights airports.dat
HCR,America/Anchorage,OpenFlights airports.dat
HCW,America/New_York,OpenFlights airports.dat
HDD,Asia/Karachi,OpenFlights airports.dat
HDF,Europe/Berlin,OpenFlights airports.dat
HDG,Asia/Shanghai,OpenFlights airports.dat
HDH,Pacific/Honolulu,OpenFlights airports.dat
HDI,America/New_York,OpenFlights airports.dat
HDM,Asia/Tehran,OpenFlights airports.dat
HDN,America/Denver,OpenFlights airports.dat
HDR,Asia/Tehran,OpenFlights airports.dat
HDS,Africa/Johannesburg,OpenFlights airports.dat
HDY,Asia/Bangkok,OpenFlights airports.dat
HEA,Asia/Kabul,OpenFlights airports.dat
HEH,Asia/Rangoon,OpenFlights airports.dat
HEI,Europe/Berlin,OpenFlights airports.dat
HEK,Asia/Shanghai,OpenFlights airports.dat
HEL,Europe/Helsinki,OpenFlights airports.dat
HEM,Europe/Helsinki,OpenFlights airports.dat
HER,Europe/Athens,OpenFlights airports.dat
HET,Asia/Shanghai,OpenFlights airports.dat
HEW,Europe/Athens,OpenFlights airports.dat
HEX,America/Santo_Domingo,OpenFlights airports.dat
HFA,Asia/Jerusalem,OpenFlights airports.dat
HFD,America/New_York,OpenFlights airports.dat
HFE,Asia/Shanghai,OpenFlights airports.dat
HFN,Atlantic/Reykjavik,OpenFlights airports.dat
HFS,Europe/Stockholm,OpenFlights airports.dat
HFT,Europe/Oslo,OpenFlights airports.dat
HGA,Africa/Mogadishu,OpenFlights airports.dat
HGD,Australia/Brisbane,OpenFlights airports.dat
HGE,America/Caracas,OpenFlights airports.dat
HGH,Asia/Shanghai,OpenFlights airports.dat
HGL,Europe/Berlin,OpenFlights airports.dat
HGN,Asia/Bangkok,OpenFlights airports.dat
HGO,Africa/Abidjan,OpenFlights airports.dat
HGR,America/New_York,OpenFlights airports.dat
HGS,Africa/Freetown,OpenFlights airports.dat
HGU,Pacific/Port_Moresby,OpenFlights airports.dat
HHE,Asia/Tokyo,OpenFlights airports.dat
HHH,America/New_York,OpenFlights airports.dat
HHI,Pacific/Honolulu,OpenFlights airports.dat
HHN,Europe/Berlin,OpenFlights airports.dat
HHP,Asia/Hong_Kong,OpenFlights airports.dat
HHQ,Asia/Bangkok,OpenFlights airports.dat
HHR,America/Los_Angeles,OpenFlights airports.dat
HIA,Asia/Shanghai,OpenFlights airports.dat
HIB,America/Chicago,OpenFlights airports.dat
HID,Australia/Brisbane,OpenFlights airports.dat
HIF,America/Denver,OpenFlights airports.dat
HII,America/Phoenix,OpenFlights airports.dat
HIJ,Asia/Tokyo,OpenFlights airports.dat
HIN,Asia/Seoul,OpenFlights airports.dat
HIO,America/Los_Angeles,OpenFlights airports.dat
HIR,Pacific/Guadalcanal,OpenFlights airports.dat
HIW,Asia/Tokyo,OpenFlights airports.dat
HJJ,Asia/Shanghai,OpenFlights airports.dat
HJR,Asia/Calcutta,OpenFlights airports.dat
HKD,Asia/Tokyo,OpenFlights airports.dat
HKG,Asia/Hong_Kong,OpenFlights airports.dat
HKK,Pacific/Auckland,OpenFlights airports.dat
HKN,Pacific/Port_Moresby,OpenFlights airports.dat
HKT,Asia/Bangkok,OpenFlights airports.dat
HKY,America/New_York,OpenFlights airports.dat
HLA,Africa/Johannesburg,OpenFlights airports.dat
HLD,Asia/Shanghai,OpenFlights airports.dat
HLF,Europe/Stockholm,OpenFlights airports.dat
HLG,America/New_York,OpenFlights airports.dat
HLH,Asia/Shanghai,OpenFlights airports.dat
HLJ,Europe/Vilnius,OpenFlights airports.dat
HLN,America/Denver,OpenFlights airports.dat
HLP,Asia/Jakarta,OpenFlights airports.dat
HLR,America/Chicago,OpenFlights airports.dat
HLT,Australia/Hobart,OpenFlights airports.dat
HLZ,Pacific/Auckland,OpenFlights airports.dat
HMA,Asia/Yekaterinburg,OpenFlights airports.dat
HMB,Africa/Cairo,OpenFlights airports.dat
HME,Africa/Algiers,OpenFlights airports.dat
HMI,Asia/Shanghai,OpenFlights airports.dat
HMJ,Europe/Kiev,OpenFlights airports.dat
HMN,America/Denver,OpenFlights airports.dat
HMO,America/Hermosillo,OpenFlights airports.dat
HMR,Europe/Oslo,OpenFlights airports.dat
HMV,Europe/Stockholm,OpenFlights airports.dat
HNA,Asia/Tokyo,OpenFlights airports.dat
HND,Asia/Tokyo,OpenFlights airports.dat
HNH,America/Anchorage,OpenFlights airports.dat
HNL,Pacific/Honolulu,OpenFlights airports.dat
HNM,Pacific/Honolulu,OpenFlights airports.dat
HNS,America/Anchorage,OpenFlights airports.dat
HOA,Africa/Nairobi,OpenFlights airports.dat
HOB,America/Denver,OpenFlights airports.dat
HOD,Asia/Aden,OpenFlights airports.dat
HOE,Asia/Vientiane,OpenFlights airports.dat
HOF,Asia/Riyadh,OpenFlights airports.dat
HOG,America/Havana,OpenFlights airports.dat
HOH,Europe/Vienna,OpenFlights airports.dat
HOK,Australia/Darwin,OpenFlights airports.dat
HOM,America/Anchorage,OpenFlights airports.dat
HON,America/Chicago,OpenFlights airports.dat
HOP,America/Chicago,OpenFlights airports.dat
HOQ,Europe/Berlin,OpenFlights airports.dat
HOR,Atlantic/Azores,OpenFlights airports.dat
HOS,America/Argentina/Salta,OpenFlights airports.dat
HOT,America/Chicago,OpenFlights airports.dat
HOU,America/Chicago,OpenFlights airports.dat
HOV,Europe/Oslo,OpenFlights airports.dat
HOX,Asia/Rangoon,OpenFlights airports.dat
HPA,Pacific/Tongatapu,OpenFlights airports.dat
HPB,America/Anchorage,OpenFlights airports.dat
HPH,Asia/Saigon,OpenFlights airports.dat
HPN,America/New_York,OpenFlights airports.dat
HQM,America/Los_Angeles,OpenFlights airports.dat
HRB,Asia/Shanghai,OpenFlights airports.dat
HRE,Africa/Harare,OpenFlights airports.dat
HRG,Africa/Cairo,OpenFlights airports.dat
HRI,Asia/Colombo,OpenFlights airports.dat
HRK,Europe/Kiev,OpenFlights airports.dat
HRL,America/Chicago,OpenFlights airports.dat
HRM,Africa/Algiers,OpenFlights airports.dat
HRO,America/Chicago,OpenFlights airports.dat
HRS,Africa/Johannesburg,OpenFlights airports.dat
HRT,Europe/London,OpenFlights airports.dat
HSG,Asia/Tokyo,OpenFlights airports.dat
HSH,America/Los_Angeles,OpenFlights airports.dat
HSK,Europe/Madrid,OpenFlights airports.dat
HSL,America/Anchorage,OpenFlights airports.dat
HSN,Asia/Shanghai,OpenFlights airports.dat
HSS,Asia/Calcutta,OpenFlights airports.dat
HST,America/New_York,OpenFlights airports.dat
HSV,America/Chicago,OpenFlights airports.dat
HSZ,Asia/Taipei,OpenFlights airports.dat
HTA,Asia/Yakutsk,OpenFlights airports.dat
HTG,Asia/Krasnoyarsk,OpenFlights airports.dat
HTI,Australia/Brisbane,OpenFlights airports.dat
HTL,America/New_York,OpenFlights airports.dat
HTN,Asia/Shanghai,OpenFlights airports.dat
HTS,America/New_York,OpenFlights airports.dat
HTY,Europe/Istanbul,OpenFlights airports.dat
HUA,America/Chicago,OpenFlights airports.dat
HUE,Africa/Addis_Ababa,OpenFlights airports.dat
HUF,America/New_York,OpenFlights airports.dat
HUH,Pacific/Tahiti,OpenFlights airports.dat
HUI,Asia/Saigon,OpenFlights airports.dat
HUL,America/New_York,OpenFlights airports.dat
HUN,Asia/Taipei,OpenFlights airports.dat
HUQ,Africa/Tripoli,OpenFlights airports.dat
HUS,America/Anchorage,OpenFlights airports.dat
HUT,America/Chicago,OpenFlights airports.dat
HUU,America/Lima,OpenFlights airports.dat
HUV,Europe/Stockholm,OpenFlights airports.dat
HUW,America/Boa_Vista,OpenFlights airports.dat
HUX,America/Mexico_City,OpenFlights airports.dat
HUY,Europe/London,OpenFlights airports.dat
HUZ,Asia/Shanghai,OpenFlights airports.dat
HVA,Indian/Antananarivo,OpenFlights airports.dat
HVB,Australia/Brisbane,OpenFlights airports.dat
HVD,Asia/Hovd,OpenFlights airports.dat
HVG,Europe/Oslo,OpenFlights airports.dat
HVN,America/New_York,OpenFlights airports.dat
HVR,America/Denver,OpenFlights airports.dat
HWD,America/Los_Angeles,OpenFlights airports.dat
HWN,Africa/Harare,OpenFlights airports.dat
HWO,America/New_York,OpenFlights airports.dat
HYA,America/New_York,OpenFlights airports.dat
HYC,Europe/London,OpenFlights airports.dat
HYG,America/Anchorage,OpenFlights airports.dat
HYN,Asia/Shanghai,OpenFlights airports.dat
HYS,America/Chicago,OpenFlights airports.dat
HYV,Europe/Helsinki,OpenFlights airports.dat
HZB,Europe/Paris,OpenFlights airports.dat
HZG,Asia/Shanghai,OpenFlights airports.dat
HZH,Asia/Shanghai,OpenFlights airports.dat
HZK,Atlantic/Reykjavik,OpenFlights airports.dat
HZL,America/New_York,OpenFlights airports.dat
IAA,Asia/Krasnoyarsk,OpenFlights airports.dat
IAB,America/Chicago,OpenFlights airports.dat
IAD,America/New_York,OpenFlights airports.dat
IAG,America/New_York,OpenFlights airports.dat
IAH,America/Chicago,OpenFlights airports.dat
IAM,Africa/Algiers,OpenFlights airports.dat
IAN,America/Anchorage,OpenFlights airports.dat
IAO,Asia/Manila,OpenFlights airports.dat
IAR,Europe/Moscow,OpenFlights airports.dat
IAS,Europe/Bucharest,OpenFlights airports.dat
IBA,Africa/Lagos,OpenFlights airports.dat
IBB,Pacific/Galapagos,OpenFlights airports.dat
IBE,America/Bogota,OpenFlights airports.dat
IBP,America/Lima,OpenFlights airports.dat
IBR,Asia/Tokyo,OpenFlights airports.dat
IBZ,Europe/Madrid,OpenFlights airports.dat
ICC,America/Caracas,OpenFlights airports.dat
ICI,Pacific/Fiji,OpenFlights airports.dat
ICK,America/Paramaribo,OpenFlights airports.dat
ICN,Asia/Seoul,OpenFlights airports.dat
ICT,America/Chicago,OpenFlights airports.dat
IDA,America/Denver,OpenFlights airports.dat
IDR,Asia/Calcutta,OpenFlights airports.dat
IDY,Europe/Paris,OpenFlights airports.dat
IEG,Europe/Warsaw,OpenFlights airports.dat
IES,Europe/Berlin,OpenFlights airports.dat
IEV,Europe/Kiev,OpenFlights airports.dat
IFH,Asia/Tehran,OpenFlights airports.dat
IFJ,Atlantic/Reykjavik,OpenFlights airports.dat
IFL,Australia/Brisbane,OpenFlights airports.dat
IFN,Asia/Tehran,OpenFlights airports.dat
IFO,Europe/Kiev,OpenFlights airports.dat
IGA,America/Nassau,OpenFlights airports.dat
IGB,America/Argentina/Salta,OpenFlights airports.dat
IGD,Europe/Istanbul,OpenFlights airports.dat
IGG,America/Anchorage,OpenFlights airports.dat
IGL,Europe/Istanbul,OpenFlights airports.dat
IGR,America/Cordoba,OpenFlights airports.dat
IGS,Europe/Berlin,OpenFlights airports.dat
IGT,Europe/Moscow,OpenFlights airports.dat
IGU,America/Sao_Paulo,OpenFlights airports.dat
IHC,Africa/Maputo,OpenFlights airports.dat
IHR,Asia/Tehran,OpenFlights airports.dat
IIA,Europe/Dublin,OpenFlights airports.dat
IIL,Asia/Tehran,OpenFlights airports.dat
IJK,Europe/Samara,OpenFlights airports.dat
IKA,Asia/Tehran,OpenFlights airports.dat
IKB,America/New_York,OpenFlights airports.dat
IKI,Asia/Tokyo,OpenFlights airports.dat
IKK,America/Chicago,OpenFlights airports.dat
IKO,America/Anchorage,OpenFlights airports.dat
IKS,Asia/Yakutsk,OpenFlights airports.dat
IKT,Asia/Irkutsk,OpenFlights airports.dat
ILD,Europe/Madrid,OpenFlights airports.dat
ILF,America/Winnipeg,OpenFlights airports.dat
ILG,America/New_York,OpenFlights airports.dat
ILI,America/Anchorage,OpenFlights airports.dat
