airport,iana_timezone,source
AJN,Indian/Comoro,OpenFlights airports.dat
AJR,Europe/Stockholm,OpenFlights airports.dat
AJU,America/Fortaleza,OpenFlights airports.dat
AJY,Africa/Niamey,OpenFlights airports.dat
AKA,Asia/Shanghai,OpenFlights airports.dat
AKB,America/Adak,OpenFlights airports.dat
AKC,America/New_York,OpenFlights airports.dat
AKD,Asia/Calcutta,OpenFlights airports.dat
AKF,Africa/Tripoli,OpenFlights airports.dat
AKH,Asia/Riyadh,OpenFlights airports.dat
AKI,America/Anchorage,OpenFlights airports.dat
AKJ,Asia/Tokyo,OpenFlights airports.dat
AKK,America/Anchorage,OpenFlights airports.dat
AKL,Pacific/Auckland,OpenFlights airports.dat
AKN,America/Anchorage,OpenFlights airports.dat
AKO,America/Denver,OpenFlights airports.dat
AKP,America/Anchorage,OpenFlights airports.dat
AKR,Africa/Lagos,OpenFlights airports.dat
AKS,Pacific/Guadalcanal,OpenFlights airports.dat
AKT,Europe/London,OpenFlights airports.dat
AKU,Asia/Shanghai,OpenFlights airports.dat
AKV,America/Toronto,OpenFlights airports.dat
AKW,Asia/Tehran,OpenFlights airports.dat
AKX,Asia/Oral,OpenFlights airports.dat
AKY,Asia/Rangoon,OpenFlights airports.dat
ALA,Asia/Qyzylorda,OpenFlights airports.dat
ALB,America/New_York,OpenFlights airports.dat
ALC,Europe/Madrid,OpenFlights airports.dat
ALF,Europe/Oslo,OpenFlights airports.dat
ALG,Africa/Algiers,OpenFlights airports.dat
ALH,Australia/Perth,OpenFlights airports.dat
ALI,America/Chicago,OpenFlights airports.dat
ALJ,Africa/Johannesburg,OpenFlights airports.dat
ALL,Europe/Rome,OpenFlights airports.dat
ALM,America/Denver,OpenFlights airports.dat
ALO,America/Chicago,OpenFlights airports.dat
ALP,Asia/Damascus,OpenFlights airports.dat
ALR,Pacific/Auckland,OpenFlights airports.dat
ALS,America/Denver,OpenFlights airports.dat
ALU,Africa/Mogadishu,OpenFlights airports.dat
ALW,America/Los_Angeles,OpenFlights airports.dat
ALY,Africa/Cairo,OpenFlights airports.dat
AMA,America/Chicago,OpenFlights airports.dat
AMB,Indian/Antananarivo,OpenFlights airports.dat
AMC,Africa/Ndjamena,OpenFlights airports.dat
AMD,Asia/Calcutta,OpenFlights airports.dat
AMH,Africa/Addis_Ababa,OpenFlights airports.dat
AMI,Asia/Makassar,OpenFlights airports.dat
AMM,Asia/Amman,OpenFlights airports.dat
AMQ,Asia/Jayapura,OpenFlights airports.dat
AMS,Europe/Amsterdam,OpenFlights airports.dat
AMV,Europe/Moscow,OpenFlights airports.dat
AMZ,Pacific/Auckland,OpenFlights airports.dat
ANB,America/Chicago,OpenFlights airports.dat
ANC,America/Anchorage,OpenFlights airports.dat
AND,America/New_York,OpenFlights airports.dat
ANE,Europe/Paris,OpenFlights airports.dat
ANF,America/Santiago,OpenFlights airports.dat
ANG,Europe/Paris,OpenFlights airports.dat
ANI,America/Anchorage,OpenFlights airports.dat
ANK,Europe/Istanbul,OpenFlights airports.dat
ANM,Indian/Antananarivo,OpenFlights airports.dat
ANN,America/Anchorage,OpenFlights airports.dat
ANP,America/New_York,OpenFlights airports.dat
ANQ,America/New_York,OpenFlights airports.dat
ANR,Europe/Brussels,OpenFlights airports.dat
ANS,America/Lima,OpenFlights airports.dat
ANU,America/Antigua,OpenFlights airports.dat
ANV,America/Anchorage,OpenFlights airports.dat
ANX,Europe/Oslo,OpenFlights airports.dat
AOC,Europe/Berlin,OpenFlights airports.dat
AOE,Europe/Istanbul,OpenFlights airports.dat
AOG,Asia/Shanghai,OpenFlights airports.dat
AOH,America/New_York,OpenFlights airports.dat
AOI,Europe/Rome,OpenFlights airports.dat
AOJ,Asia/Tokyo,OpenFlights airports.dat
AOK,Europe/Athens,OpenFlights airports.dat
AOL,America/Cordoba,OpenFlights airports.dat
AOO,America/New_York,OpenFlights airports.dat
AOP,America/Lima,OpenFlights airports.dat
AOR,Asia/Kuala_Lumpur,OpenFlights airports.dat
AOT,Europe/Rome,OpenFlights airports.dat
APA,America/Denver,OpenFlights airports.dat
APC,America/Los_Angeles,OpenFlights airports.dat
APF,America/New_York,OpenFlights airports.dat
APG,America/New_York,OpenFlights airports.dat
APK,Pacific/Tahiti,OpenFlights airports.dat
APL,Africa/Maputo,OpenFlights airports.dat
APN,America/New_York,OpenFlights airports.dat
APO,America/Bogota,OpenFlights airports.dat
APW,Pacific/Apia,OpenFlights airports.dat
APZ,America/Argentina/Salta,OpenFlights airports.dat
AQA,America/Sao_Paulo,OpenFlights airports.dat
AQB,America/Guatemala,OpenFlights airports.dat
AQG,Asia/Shanghai,OpenFlights airports.dat
AQI,Asia/Riyadh,OpenFlights airports.dat
AQJ,Asia/Amman,OpenFlights airports.dat
AQP,America/Lima,OpenFlights airports.dat
ARA,America/Chicago,OpenFlights airports.dat
ARB,America/New_York,OpenFlights airports.dat
ARC,America/Anchorage,OpenFlights airports.dat
ARD,Asia/Makassar,OpenFlights airports.dat
ARE,America/Puerto_Rico,OpenFlights airports.dat
ARH,Europe/Moscow,OpenFlights airports.dat
ARI,America/Santiago,OpenFlights airports.dat
ARK,Africa/Dar_es_Salaam,OpenFlights airports.dat
ARM,Australia/Sydney,OpenFlights airports.dat
ARN,Europe/Stockholm,OpenFlights airports.dat
ARR,America/Catamarca,OpenFlights airports.dat
ART,America/New_York,OpenFlights airports.dat
ARU,America/Sao_Paulo,OpenFlights airports.dat
ARV,America/Chicago,OpenFlights airports.dat
ARW,Europe/Bucharest,OpenFlights airports.dat
ASA,Africa/Asmera,OpenFlights airports.dat
ASB,Asia/Ashgabat,OpenFlights airports.dat
ASD,America/Nassau,OpenFlights airports.dat
ASE,America/Denver,OpenFlights airports.dat
ASF,Europe/Samara,OpenFlights airports.dat
ASH,America/New_York,OpenFlights airports.dat
ASI,Atlantic/St_Helena,OpenFlights airports.dat
ASJ,Asia/Tokyo,OpenFlights airports.dat
ASK,Africa/Abidjan,OpenFlights airports.dat
ASM,Africa/Asmera,OpenFlights airports.dat
ASO,Africa/Addis_Ababa,OpenFlights airports.dat
ASP,Australia/Darwin,OpenFlights airports.dat
ASR,Europe/Istanbul,OpenFlights airports.dat
AST,America/Los_Angeles,OpenFlights airports.dat
ASU,America/Asuncion,OpenFlights airports.dat
ASV,Africa/Nairobi,OpenFlights airports.dat
ASW,Africa/Cairo,OpenFlights airports.dat
ATA,America/Lima,OpenFlights airports.dat
ATB,Africa/Khartoum,OpenFlights airports.dat
ATC,America/Nassau,OpenFlights airports.dat
ATD,Pacific/Guadalcanal,OpenFlights airports.dat
ATF,America/Guayaquil,OpenFlights airports.dat
ATH,Europe/Athens,OpenFlights airports.dat
ATJ,Indian/Antananarivo,OpenFlights airports.dat
ATK,America/Anchorage,OpenFlights airports.dat
ATL,America/New_York,OpenFlights airports.dat
ATM,America/Belem,OpenFlights airports.dat
ATO,America/New_York,OpenFlights airports.dat
ATQ,Asia/Calcutta,OpenFlights airports.dat
ATR,Africa/Nouakchott,OpenFlights airports.dat
ATW,America/Chicago,OpenFlights airports.dat
ATY,America/Chicago,OpenFlights airports.dat
ATZ,Africa/Cairo,OpenFlights airports.dat
